Code Class	Name	WYK3426	WYK3426-2	WYK3426_CoV
Endogenous	UPK2	2.416126905	1	0.586250432
Endogenous	SLC27A2	3.549028429	7.843229686	0.533074093
Endogenous	PLEKHG6	10.34643757	21.90986849	0.506975622
Endogenous	MT1X	387.6026451	626.7753368	0.33344697
Endogenous	SCNN1G	6.66450762	10.12430625	0.29143775
Endogenous	CYP2J2	16.86062134	11.26484453	0.281368618
Endogenous	CDK6	62.1766823	89.96198592	0.258279855
Endogenous	UPK1A	241.1751231	341.2605872	0.243017758
Endogenous	GATA3	25.92383353	34.45578958	0.199835761
Endogenous	TMPRSS2	17.4270721	23.05040677	0.196469651
Endogenous	RNF128	3.83225381	2.900897135	0.195619741
Endogenous	MT2A	622.1132605	816.4848709	0.191076967
Endogenous	SPINK1	7.230958382	5.562153124	0.184477953
Endogenous	CHST15	59.06120311	45.86117239	0.177918794
Endogenous	SCNN1B	57.92830158	71.333194	0.146659147
Endogenous	HMGCS2	3.549028429	2.900897135	0.142109557
Endogenous	PDGFC	69.5405422	85.01965337	0.141632643
Endogenous	SLC9A2	8.647085287	7.082870832	0.14063188
Endogenous	PPFIBP2	19.40964977	23.05040677	0.12126239
Endogenous	TMEM97	8.363859906	7.082870832	0.11727997
Endogenous	FAM59A	68.97409144	59.16745233	0.108229397
Endogenous	SEMA5A	56.79540006	49.28278723	0.100156679
Endogenous	ALOX5AP	51.6973432	59.54763176	0.099797627
Endogenous	PRKCDBP	241.1751231	276.6300846	0.096833494
Endogenous	GPD1L	76.62117673	87.68090936	0.095195528
Endogenous	CD14	576.7971996	656.4293321	0.091318861
Endogenous	TUBB6	434.6180583	494.0927168	0.090566268
Endogenous	GDPD3	23.3748051	26.47202161	0.087871704
Endogenous	FAM174B	28.18963658	24.9513039	0.086180146
Endogenous	TOX3	7.514183763	6.702691405	0.080722626
Endogenous	PALLD	921.1992629	835.1136628	0.069317615
Housekeeping	AMMECR1L	54.52959701	50.04314608	0.060673552
Housekeeping	EIF2B4	60.76055539	66.01068202	0.058568493
Housekeeping	XRCC6	153.6584804	165.9978713	0.054591545
Housekeeping	SRPR	205.7719505	191.0897135	0.052320041
Endogenous	C10orf116	7.514183763	7.082870832	0.041787101
Endogenous	PPARG	37.25284877	35.21614843	0.039745675
Endogenous	FBP1	19.12642438	18.10807422	0.038678233
Endogenous	GLIPR1	146.8610712	154.5924885	0.036270513
Endogenous	FAP	44.61670867	42.43955754	0.035367433
Endogenous	CAPN5	36.40317263	38.25758385	0.035125997
Endogenous	TRAK1	59.62765387	62.58906717	0.034267577
Endogenous	AHNAK2	90.21599502	86.54037108	0.029408373
Endogenous	TBX2	127.8849707	132.5420817	0.025289806
Endogenous	RAB15	16.01094519	16.58735651	0.025006478
Endogenous	PRRX1	295.2711709	304.0030033	0.020606054
Endogenous	MSN	485.0321761	475.8441043	0.013522964
Endogenous	EMP3	103.8108133	102.507907	0.008930783
Endogenous	CYP4B1	33.28769343	32.93507187	0.007530374
Endogenous	BHMT	1	1	0
Endogenous	VGLL1	1	1	0
