CodeClass	Name	CoV	WYK3299	WYK3300	WYK3301	WYK3302	WYK3303	WYK3304	WYK3305	WYK3307	WYK3308	WYK3309	WYK3310	WYK3311	WYK3313	WYK3314	WYK3315	WYK3317	WYK3320	WYK3325	WYK3327	WYK3328	WYK3329	WYK3331	WYK3333	WYK3336	WYK3337	WYK3338	WYK3339	WYK3340	WYK3341	WYK3342	WYK3343	WYK3346	WYK3347	WYK3348	WYK3349	WYK3350	WYK3352	WYK3353	WYK3354	WYK3355	WYK3356	WYK3357	WYK3358	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385
Endogenous	BHMT	5.407185732	192.2982956	0	0	0	0	0	4.16794392	69.55889946	0	1371.430652	0	26.12238086	0	0	0	13.13928325	27.55613842	0	0	30.37269013	0	24.34425977	0	0	0	100.0996197	0	16.58798765	0	0	0	26.47035054	0	0	2.285753008	0	0	0	0	20.13016566	7.33685971	0	0	0	0	0	0	1.820934427	0	45.63158612	0	5.083947844	0	2.929261286	4.122037126	0	0	10.07842369	56.77105868	10.79554215	0	5.410365301	0	0	0	0
Endogenous	MT1X	3.943876333	186.2889738	315.5191256	467.1690777	428.7841203	75.33132827	370.8096868	761.6917514	396.9654435	3762.291935	2313.706134	886.9813793	793.4673186	124.926457	595.9479783	3720.779515	2394.269393	352.5933166	381.0463577	55936.80629	278.1319377	1527.424255	879.871103	223.9807917	262.4429241	100.5439574	328.4204914	163.771855	3370.126158	1118.493998	308.508608	3210.418288	1326.458677	444.235875	3811.381272	214.2893445	394.4412583	593.9047702	102.1514715	3199.665428	218.7478002	318.3381907	220.6289489	241.2042869	196.5153331	894.7856027	3409.127599	2802.605192	217.2374771	17.07208434	186.5696496	933.329304	1046.16349	718.7450005	72.4326427	285.4510709	0	1437.100317	84.45719051	218.4904506	135.0826812	486.4800773	178.5420549	622.0064868	1512.184996	1964.031755	239.8327538
Endogenous	CDK6	3.18131929	18.57426719	173.0972981	104.0843023	100.2049846	75.33132827	149.1763108	72.9390186	53.96811165	1464.516324	419.8257099	99.66834503	587.7535693	30.12186147	126.3104534	438.2074375	169.3507619	23.17220731	89.02952283	6599.286135	24.22989887	158.0788451	344.2973881	93.70316522	97.17543629	30.84170471	28.79119496	25.27343441	201.8205164	68.87930826	121.1322142	1662.224769	247.056605	98.7753656	132.2715865	34.85773338	165.146686	122.3723155	40.7299044	715.8088206	61.28517102	46.87438148	66.85725723	40.94924915	28.12447701	80.89719984	314.1745042	345.55282	47.70848199	14.35263728	43.32112607	106.278564	76.25921767	32.23462426	24.49927621	38.8158496	0	129.6128174	39.30585238	59.11481798	33.7706703	108.670915	59.85216614	143.9353854	77.5237072	169.380605	44.24587491
Endogenous	SLC9A2	3.024227928	29.50030671	31.77102307	30.25706462	37.28557568	71.90717698	46.88398339	19.79773362	47.9716548	202.0022516	158.6008237	5.351320538	52.24476172	4.439011164	19.49758677	95.60889546	36.49800904	9.394138097	17.09366838	707.0663716	29.69015777	24.164919	111.2880447	17.22929167	3.231487193	59.83290714	20.42166154	73.2929598	37.32297222	10.06697582	17.98056304	114.0312507	58.8230012	10.13080673	17.63621154	18.00030494	10.91878916	18.62187409	6.316402287	52.49264684	23.26152477	35.4614886	27.1143321	8.18984983	4.984084534	11.17364639	83.55704899	36.27350044	42.06358526	87.92878837	19.06129547	16.39403381	20.90067447	6.96964849	12.78223107	9.274583532	1558.845727	10.77679605	9.675286741	19.79174523	22.14470184	10.66396829	24.34664386	22.03092633	12.52669659	38.18406702	9.553086629
Endogenous	TOX3	3.01225752	6.555623713	7.668867636	22.99536911	23.3034848	58.21057184	23.44199169	6.25191588	35.9787411	227.252533	214.577585	6.689150673	65.30595215	2.219505582	9.324932803	175.282975	23.35872578	51.3546216	7.122361827	392.8146509	126.6097533	15.10307438	48.68851953	3.929487574	3.231487193	14.80401826	68.29539271	69.75467898	24.88198148	6.887930826	10.40979966	83.33052933	47.05840096	8.104645382	15.67663248	35.42917163	6.369293676	15.96160637	5.22736741	26.24632342	111.3869167	13.85851279	14.48573907	3.962830563	3.382057362	4.469458555	53.47651136	76.36526408	8.376298364	4.834572556	56.60627139	7.349049638	7.34348022	4.356030306	9.85296978	4.122037126	1385.640646	2.621382824	11.28783453	21.61466913	24.35917202	9.14054425	11.15887843	11.01546317	3.308938722	23.4978874	12.31845381
Endogenous	UPK1A	2.600665606	4455.092615	12.05107771	0	51.26766656	1979.159443	0	54.18327096	2265.461398	467.1302067	74.63568175	3.344575337	166.530178	3.487794486	5.086326984	135.4459352	668.6435255	0	0	0	225.5769458	19.13056088	4722.786395	0	6.232153871	781.5287974	567.7891472	27.80077786	374.6120545	5.828249161	18.92690846	0	23.52920048	3.545782355	0	19.7146197	12.73858735	23.27734262	2.83149068	14.31617641	115.8602868	108.0148791	135.9430897	68.68906309	1.246021134	11.17364639	36.76510156	150.8213966	708.8897724	366.8231927	363.319844	0	884.0420418	19.16653335	343.5224599	84.50176107	0	2.912647582	87.88385456	455.2101403	176.6039972	11.17177631	259.6975345	134.3886506	4.963408083	9.790786416	61.59226905
Endogenous	SPINK1	2.390100655	8.740831617	0	12.10282585	202.7403177	1972.31114	23.44199169	21.88170558	763.9486027	568.1313325	2033.822328	5.351320538	437.5498794	1.58536113	31.36568307	47.80444773	242.34678	0	0	0	8051.493015	0	2987.388449	5.138560673	7.847897468	606.9647488	1491.116074	6.06562426	449.2579989	3.179044997	21.76594473	0	61.76415126	5.065403364	0	900.015247	25.4771747	234.768627	20.69166266	0	2164.663814	1210.174249	204.2860638	95.37212221	0.890015095	35.75566844	103.6107408	393.28111	112.1695607	2.568366671	1170.825634	10.7409187	463.2041369	2.032814143	355.772098	89.99781057	0	5.242765648	351.3338498	912.2432044	3001.991143	31.48409686	151.4902284	52.13985899	0	0	129.9722576
Endogenous	HMGCS2	2.218291974	13.6575494	0	0	69.9104544	102.7245385	0	14.58780372	23.9858274	568.1313325	0	0	29.38767847	0	0	0	65.69641627	5.636482858	0	0	817.3325042	0	0	0	2.308205138	28.37436834	261.7990054	0	84.32227057	0	7.570763385	0	0	0	6.85852671	156.0026428	4.549495483	49.21495296	10.23692784	0	354.2909157	18.74975259	49.0286553	17.70064318	1.424024153	15.19615909	30.08053764	322.6432407	14.20328853	0	253.5729912	0	85.86223026	0	73.76412511	2.404521657	0	0	58.45485739	157.8131264	272.3798326	11.67958432	50.38402687	16.15601264	1.890822127	6.853550491	23.37992254
Endogenous	RNF128	2.136199707	102.1584695	13.14663023	8.471978093	16.31243936	30.81736156	12.78654092	4.16794392	68.35960809	75.75084434	83.96514197	3.344575337	68.57124975	4.75608339	5.086326984	79.67407955	14.59920361	6.262758731	0	196.4073255	167.2204288	70.48101375	27.82201116	5.440828948	3.923948734	46.26255707	74.32145677	35.38280818	48.38163065	4.238726662	9.463454232	35.08653866	23.52920048	4.558863028	34.29263355	38.57208201	10.00889006	12.63627171	5.662981361	19.08823522	101.9928394	13.45090947	58.68581468	9.774982055	3.91606642	13.40837566	56.81879331	30.54610563	26.58564263	12.69075296	60.07196148	16.39403381	22.59532375	5.808040408	46.60188409	4.809043313	750.5553499	47.47615559	18.54429959	29.68761784	44.56621245	9.648352264	30.09515699	9.546734745	39.23455913	0	21.87154044
Endogenous	SCNN1G	1.909484396	4.916717785	30.67547055	0	13.98209088	85.60378212	0	0	158.3064609	0	0	0	52.24476172	1.268288904	0	0	0	10.02041397	0	0	23.88863269	0	34.77751395	0	0	33.92587518	11.38256545	14.15312327	0	0	0	0	0	4.052322691	0	12.57164155	0	3.990401592	0	0	50.99641968	4.076033172	30.82862417	2.113509633	10.85818416	8.93891711	0	0	19.48399837	18.12964709	74.51233684	0	19.20602519	3.194422224	27.42853749	6.870061876	0	2.912647582	5.442348792	5.989607109	43.18216859	0	11.15887843	0	21.74445446	8.811707775	7.039116463
