Sample_ID	True_Basal_Correlation	True_BASE47_Calls	DamrauerLog_Basal_Correlation	DamrauerLog_BASE47_Call	Nanostring_Basal_Correlation	Nanostring_BASE47_Call
WYK3302	0.172620815	Luminal	0.999999376	Basal	0.841864808	Basal
WYK3314	0.287655707	Luminal	0.999999034	Basal	0.958713499	Basal
WYK3329	0.228952107	Luminal	0.999997871	Basal	0.847935075	Basal
WYK3384	0.425923504	Luminal	0.999999411	Basal	0.960889419	Basal
WYK3320	0.056006859	Luminal	0.999993364	Basal	0.982276961	Basal
WYK3307	1.32E-05	Luminal	0.993591346	Basal	0.000169139	Luminal
WYK3308	0.000179275	Luminal	0.968021474	Basal	0.000279356	Luminal
WYK3311	0.172064444	Luminal	0.999960114	Basal	0.049968879	Luminal
WYK3331	0.001865499	Luminal	0.998219614	Basal	0.009060599	Luminal
WYK3338	1.25E-05	Luminal	0.995205363	Basal	0.000244842	Luminal
WYK3339	0.000182872	Luminal	0.999903179	Basal	0.071263582	Luminal
WYK3349	0.000521045	Luminal	0.9999471	Basal	0.014591663	Luminal
WYK3355	1.17E-06	Luminal	0.887115613	Basal	0.00000766	Luminal
WYK3356	0.003610283	Luminal	0.999941177	Basal	0.016214008	Luminal
WYK3357	0.011010508	Luminal	0.999915728	Basal	0.008862174	Luminal
WYK3361	0.001601285	Luminal	0.975470238	Basal	0.000921686	Luminal
WYK3363	0.000784308	Luminal	0.999898098	Basal	0.002812194	Luminal
WYK3366	9.82E-06	Luminal	0.868175557	Basal	0.0000049	Luminal
WYK3369	0.002141702	Luminal	0.999964367	Basal	0.014561776	Luminal
WYK3372	0.006353778	Luminal	0.999853777	Basal	0.003468783	Luminal
WYK3376	4.94E-06	Luminal	0.999172299	Basal	0.001266252	Luminal
WYK3377	1.11E-05	Luminal	0.983625883	Basal	0.0000459	Luminal
WYK3381	0.000372732	Luminal	0.999995779	Basal	0.143997414	Luminal
WYK3385	0.019279105	Luminal	0.999997285	Basal	0.436374685	Luminal
WYK3340	0.534613801	Basal	0.999995922	Basal	0.331389864	Luminal
WYK3362	0.572839847	Basal	0.99983282	Basal	0.075209378	Luminal
WYK3300	0.999002626	Basal	0.999999507	Basal	0.96564408	Basal
WYK3301	0.999925623	Basal	0.999999884	Basal	0.998016772	Basal
WYK3305	0.999485603	Basal	0.999999844	Basal	0.986827671	Basal
WYK3313	0.999796108	Basal	0.999999844	Basal	0.995799502	Basal
WYK3325	0.999835255	Basal	0.999999933	Basal	0.999519315	Basal
WYK3333	0.966075419	Basal	0.999999715	Basal	0.994673004	Basal
WYK3336	0.999956551	Basal	0.999999961	Basal	0.996804814	Basal
WYK3341	0.999997941	Basal	0.999999976	Basal	0.999252347	Basal
WYK3343	0.999825796	Basal	0.999999918	Basal	0.999261793	Basal
WYK3346	0.97215122	Basal	0.999999409	Basal	0.967622433	Basal
WYK3347	0.999994989	Basal	0.999999981	Basal	0.999512211	Basal
WYK3350	0.999992776	Basal	0.999999983	Basal	0.998086982	Basal
WYK3352	0.99973869	Basal	0.999999714	Basal	0.957193856	Basal
WYK3354	0.999857846	Basal	0.999999921	Basal	0.999610907	Basal
WYK3359	0.94237241	Basal	0.999999621	Basal	0.970969113	Basal
WYK3360	0.999994107	Basal	0.999999955	Basal	0.996166834	Basal
WYK3367	0.999962041	Basal	0.999999941	Basal	0.99841412	Basal
WYK3371	0.999998609	Basal	0.999999976	Basal	0.998628478	Basal
WYK3373	0.999893279	Basal	0.999999894	Basal	0.969763759	Basal
WYK3374	0.999916678	Basal	0.999999962	Basal	0.99640936	Basal
WYK3379	0.999286475	Basal	0.999999975	Basal	0.998478225	Basal
WYK3382	0.99998962	Basal	0.999999943	Basal	0.982058913	Basal
WYK3383	0.999958824	Basal	0.999999985	Basal	0.99922792	Basal
WYK3375	0.54412081	Basal	0.999996241	Basal	0.519883911	Basal
WYK3299	5.24E-06	Luminal	0.040321257	Luminal	0.000000848	Luminal
WYK3364	6.81E-07	Luminal	0.290227452	Luminal	0.00000487	Luminal
