Gene_ID	Count	Damrauer_Basal	Damrauer_Luminal	Nanostring_Basal	Nanostring_Luminal
ADIRF	1	-0.60368826	0.1269024	-0.242638085	-0.22777743
AHNAK2	2	0.93631008	-1.02347	0.418253384	-0.65016163
ALOX5AP	3	0.67430128	-1.0485736	0.560868527	-0.44996551
BHMT	4	-0.04398073	1.2793899	0.807874866	1.26149442
CAPN5	5	-0.14848109	0.3944923	-0.090075966	0.03635041
CD14	6	0.63044218	-0.9031231	0.61979062	-0.55419749
CDK6	7	0.56923059	-0.6862727	0.618338209	-0.43605375
CHST15	8	0.6079361	-0.8936362	0.464278258	-0.55793654
CYP2J2	9	-0.21681972	0.4635703	-0.504344828	0.39520864
CYP4B1	10	-0.52630481	0.3192914	-0.579097095	0.29966257
EMP3	11	0.62491281	-0.8183691	0.549737409	-0.52255971
FAM174B	12	-0.35693545	0.2768832	-0.245877861	0.01513588
FAP	13	0.85675383	-0.7027748	0.588652196	-0.3455046
FBP1	14	-0.38537856	0.3090818	-0.005831577	-0.02221559
GAREM	15	-0.22963318	0.2098138	0.368480212	-0.39523847
GATA3	16	-0.64292164	0.2028947	-0.265634651	0.11201676
GDPD3	17	0.07179237	0.7451045	-0.022498955	0.19730702
GLIPR1	18	0.67440948	-0.5267599	0.485300825	-0.57648319
GPD1L	19	-0.32772179	0.1841938	0.040878932	0.13760866
HMGCS2	20	-0.44888872	0.8437399	-0.84058572	0.37974312
MSN	21	0.53373844	-0.7	0.580119736	-0.57958994
MT1X	22	0.7164632	-0.8816871	0.622971809	-0.46053503
MT2A	23	0.747259	-0.860568	0.449220958	-0.76884075
PALLD	24	0.62582351	-0.6921226	0.466829572	-0.34241842
PDGFC	25	0.6794958	-0.6372789	0.534323268	-0.41302978
PLEKHG6	26	-0.14920324	0.1928959	-0.06967567	0.11786136
PPARG	27	-0.60181492	0.1599967	-0.330781258	0.15967352
PPFIBP2	28	-0.35373265	0.1292742	-0.084154836	-0.01325453
PRKCDBP	29	0.7124726	-0.6647117	0.460578	-0.40905746
PRRX1	30	0.75965813	-0.6826273	0.658386034	-0.31920852
RAB15	31	-0.49086928	0.1584527	-0.046025521	0.07182898
RNF128	32	-0.53764723	0.1406995	-0.382646173	-0.01381843
SCNN1B	33	-0.33669928	0.733121	-0.475955272	0.50228743
SCNN1G	34	-0.26225956	0.4845031	-0.529533667	0.491989
SEMA5A	35	-0.36730895	0.3917035	-0.132802584	-0.15206392
SLC27A2	36	-0.25778637	0.2080964	-0.519343069	-0.03883088
SLC9A2	37	-0.11037039	0.389952	-0.013630896	0.0136436
SPINK1	38	-0.95581027	0.3073088	-0.787472123	1.00595467
TBX2	39	-0.27192595	0.3885025	0.126516577	0.10755934
TMEM97	40	-0.27715996	0.1444787	-0.294188353	0.36297578
TMPRSS2	41	-0.35239804	0.3369868	-1.15316171	0.23555457
TOX3	42	-0.22693152	0.8632131	0.009399653	0.38281617
TRAK1	43	-0.18878892	0.2325935	0.172810169	0.0840458
TUBB6	44	0.58138665	-0.7367673	0.513079897	-0.56572504
UPK1A	45	-0.40334389	0.7167539	-0.761063593	0.9275702
UPK2	46	-0.52688472	0.8291283	-1.067922399	1.22193163
VGLL1	47	-0.40069697	0.2957238	-0.671747248	0.2942471
