	WYK3354	WYK3325	WYK3347	WYK3343	WYK3341	WYK3383	WYK3371	WYK3379	WYK3367	WYK3350	WYK3301	WYK3336	WYK3374	WYK3360	WYK3313	WYK3333	WYK3305	WYK3320	WYK3382	WYK3359	WYK3373	WYK3346	WYK3300	WYK3384	WYK3314	WYK3352	WYK3329	WYK3302	WYK3375	WYK3385	WYK3340	WYK3381	WYK3362	WYK3339	WYK3311	WYK3356	WYK3349	WYK3369	WYK3331	WYK3357	WYK3372	WYK3363	WYK3376	WYK3361	WYK3308	WYK3338	WYK3307	WYK3377	WYK3355	WYK3366	WYK3364	WYK3299
VGLL1	-3.662711	0.952222	-1.187921	-3.662711	-3.662711	-3.662711	-3.662711	-1.839353	-3.662711	2.157566	0.176554	-3.662711	-3.662711	-0.349622	-3.662711	2.388007	-3.662711	-3.662711	-1.044343	-2.013769	-0.401545	1.117093	2.554559	-3.662711	-1.057139	-3.662711	2.496777	0.633217	-1.117325	1.04546	1.177583	-0.228912	0.361702	-0.326651	2.966047	1.663895	0.787345	0.862759	3.10296	2.483551	0.149636	1.004075	-0.149636	2.271831	-3.662711	0.887596	1.345452	2.716012	2.70213	1.39675	3.071377	-3.662711
SLC27A2	1.717369	-0.515404	-0.73789	-4.147181	-4.147181	-2.615701	-2.182221	-0.603194	-4.147181	-1.455782	-4.147181	0.010663	-1.888228	-0.169973	-2.086884	0.655109	-1.288819	1.191078	-1.086504	-3.228783	-2.241051	0.779364	-1.451686	0.993097	1.827432	0.241835	1.669878	-4.147181	-1.101657	0.3683	-0.010663	-0.625806	0.646082	0.18966	2.742179	0.156581	0.545333	0.378289	1.762634	-0.339824	-1.989538	-0.13696	0.078433	3.329694	2.844357	0.765755	0.099939	0.221128	0.39921	0.444055	0.844699	-0.273609
GATA3	-0.991423	1.04781	-1.572903	0.386714	-1.613572	-2.346573	-2.610998	-0.185995	-1.272475	-0.36707	-0.710036	-1.498645	-1.017395	-0.349942	-3.8188	1.249971	-1.786005	-3.444689	-1.999739	-1.239549	-2.818575	0.349541	0.822978	-0.815735	-1.192852	-0.303498	1.58053	-0.032001	-0.123869	0.7213	0.91906	-0.120885	2.035038	0.990612	2.869758	0.032001	-0.057751	0.986566	1.094426	0.445043	-0.772159	0.466115	1.101923	2.421274	1.463983	0.230336	2.154476	0.22322	2.586141	2.034093	0.140162	2.39737
PDGFC	2.391247	0.296708	0.693843	3.588454	-0.529875	-0.372507	0.030716	0.630748	0.261089	0.6036	-0.471914	-1.320898	-0.576807	1.502261	-1.147895	-0.259261	0.446652	-1.897642	1.584331	-2.152911	-0.212303	1.112109	-0.540579	0.735095	-1.21926	-0.014377	0.963506	-0.233501	-0.246371	0.014377	0.793657	0.200951	1.414409	-0.871269	1.09058	0.271511	0.085614	0.089002	2.233831	-0.1368	-1.163245	-0.548417	-0.61222	2.02622	1.968012	-0.813411	0.16643	-0.933427	-0.205082	-1.149913	-2.437331	-2.623616
MSN	1.091673	0.3773	0.007865	1.18764	0.102368	0.66939	0.278142	0.144488	0.456636	-0.124195	0.409132	0.205894	0.921103	0.006941	1.107338	-0.476815	0.501386	-0.422955	0.440865	-0.799706	-0.006941	0.620839	0.20347	0.244365	-0.212005	0.716149	0.822923	-0.229627	-0.420986	-0.663	0.637156	-0.444347	0.020825	-0.727371	0.682147	-0.231338	-0.492177	0.095993	0.597777	-1.319455	-0.725859	-0.706252	-0.885241	-0.823389	-0.025628	-0.794461	-0.096556	-0.780334	-0.913126	-0.470964	-2.015299	-2.876319
UPK2	-4.334136	-4.334136	-4.334136	-4.334136	-2.466554	-4.334136	-1.912972	-2.317338	-4.334136	-1.45261	-4.334136	-2.034321	-4.334136	-0.676429	-4.334136	-0.527035	-0.820663	-4.334136	-0.747316	-2.859036	1.303284	-0.360915	-1.638641	-1.360791	-0.64841	-0.367754	-0.237373	0.737321	0.237373	1.331956	0.926001	1.977844	0.810088	2.41612	1.71693	4.701406	3.247627	3.2246	4.467256	2.171848	2.901003	3.86994	2.38953	1.677166	1.927974	3.858623	3.23942	3.874349	4.948485	2.551631	5.144012	3.790335
GPD1L	-0.606571	-0.788245	-0.742256	-6.064314	-0.960817	-2.583639	-0.244983	-0.599525	-1.250022	-0.857162	-0.150136	-0.319424	-1.16537	-0.073985	0.073985	-1.358985	1.579682	-0.087004	0.471669	-1.726294	1.114877	0.155411	-0.688043	-0.094336	-0.2327	-0.663976	-0.299729	0.343252	1.042798	0.517289	-0.609733	0.715518	-0.34879	1.682625	1.079404	0.72016	0.978542	1.270422	0.275327	0.272992	1.158019	0.77648	-0.292269	-1.455743	1.063696	0.860751	1.553958	0.532261	0.292675	1.256208	2.329713	3.150695
SCNN1G	-2.626192	-2.626192	-0.289245	-2.626192	-2.626192	1.881251	-0.55772	-2.626192	-2.626192	-2.626192	-2.626192	-2.626192	-0.658047	0.686897	-1.444588	-2.626192	-2.626192	0.835915	-2.626192	0.941619	0.350183	-2.626192	2.359102	0.668312	-2.626192	-0.307036	-2.626192	1.278975	0.061395	0.380845	-2.626192	0.977746	-2.626192	1.295351	3.108376	-0.28249	1.136331	1.710522	2.534789	2.366061	2.203076	1.730234	0.179019	-2.626192	-2.626192	1.004046	4.689469	2.8392	3.074148	3.612449	1.631546	-0.061395
TUBB6	1.117554	-0.314128	0.588275	1.673117	1.603021	0.961365	0.253364	0.693447	0.202149	0.470541	0.05509	-0.733231	0.304721	-0.019255	-1.185312	-1.23928	1.257248	-1.852783	0.946182	-1.421472	0.259413	0.293565	-0.430826	-0.491665	-1.455468	0.187942	0.451732	0.705745	0.400238	-0.425827	1.511694	-0.152457	0.29883	-0.063964	1.147654	0.125543	-0.597303	0.019255	0.485498	-1.344124	-0.718037	-0.405297	0.277438	-0.040685	-1.170211	-0.613787	-0.207239	-0.947051	-0.751566	-0.916125	-2.49768	-2.908193
CYP2J2	-3.83273	-0.473902	-3.83273	-3.83273	0.416305	-0.446732	-3.83273	-0.813151	-3.83273	-0.372133	0.332696	-0.846389	1.052061	-1.63878	-2.462364	-0.590354	-0.974368	-1.40407	-0.434006	-0.140504	-1.9266	0.947073	-3.83273	-0.275704	0.113183	-0.13549	2.264468	0.281007	-0.444028	0.364695	0.698172	-0.113183	0.626731	1.226885	1.713058	3.608752	1.331482	0.727699	1.462084	3.874631	0.824509	0.127733	1.005429	-3.83273	-3.83273	1.395749	1.421941	1.460037	3.236654	0.493613	1.962726	-0.548685
