Gene_ID	Pearson_R	Lower_95%_CI	Upper_95%_CI	Pearson_pvalues
VGLL1	0.962776286	0.922475781	0.982319485	0
AHNAK2	0.958225669	0.913216242	0.980133851	0
TBX2	0.950931441	0.898470383	0.976619343	8.88E-16
TMEM97	0.946245712	0.88905984	0.974354396	3.11E-15
TMPRSS2	0.94209081	0.880755611	0.97234126	8.22E-15
SPINK1	0.93269418	0.862113055	0.967771761	6.33E-14
CYP2J2	0.924411308	0.845837081	0.963724627	3.05E-13
FAM174B	0.916817721	0.831043008	0.959998335	1.11E-12
SLC9A2	0.91269345	0.823058506	0.95796806	2.13E-12
UPK2	0.909204711	0.81633193	0.956247094	3.61E-12
SCNN1G	0.906739772	0.811594463	0.955029194	5.17E-12
PLEKHG6	0.897968784	0.794838019	0.950682289	1.72E-11
SCNN1B	0.897764239	0.794449116	0.950580669	1.77E-11
BHMT	0.889316561	0.778461138	0.946373858	5.09E-11
UPK1A	0.887784585	0.775577066	0.945608881	6.12E-11
PALLD	0.887688078	0.77539554	0.945560669	6.19E-11
GDPD3	0.881768884	0.764297135	0.942598797	1.22E-10
TOX3	0.879752559	0.760532378	0.941587669	1.53E-10
CYP4B1	0.879670275	0.760378912	0.941546382	1.54E-10
CD14	0.878995035	0.759120045	0.941207505	1.66E-10
GPD1L	0.85976614	0.723643533	0.931504407	1.16E-09
GATA3	0.85599003	0.716760253	0.929586873	1.64E-09
FBP1	0.85202234	0.709556868	0.927567753	2.34E-09
HMGCS2	0.852006913	0.709528917	0.927559894	2.34E-09
MT2A	0.847554053	0.701480133	0.925288589	3.44E-09
MSN	0.846150638	0.698951084	0.924571581	3.88E-09
TRAK1	0.842514524	0.692415643	0.922711294	5.25E-09
MT1X	0.828633755	0.667691219	0.915575184	1.56E-08
TUBB6	0.828132312	0.666804644	0.915316363	1.62E-08
ALOX5AP	0.807235715	0.630260115	0.904466124	7.06E-08
CAVIN3	0.805221426	0.626778431	0.903413544	8.05E-08
SEMA5A	0.798263183	0.614805728	0.899768338	1.26E-07
FAP	0.798200642	0.614698499	0.899735511	1.26E-07
CAPN5	0.787019261	0.595635952	0.893847906	2.49E-07
PPFIBP2	0.781833059	0.58686685	0.891104524	3.37E-07
GLIPR1	0.773812765	0.573395181	0.886846189	5.30E-07
CDK6	0.771523559	0.569569786	0.885627213	6.00E-07
PRRX1	0.757421294	0.54619548	0.878083085	1.26E-06
RNF128	0.754790739	0.541871474	0.876669177	1.44E-06
C10orf116	0.740054697	0.517855573	0.868709517	2.95E-06
CHST15	0.727965101	0.4984108	0.862129335	5.14E-06
PPARG	0.680174342	0.423741141	0.835666846	3.55E-05
RAB15	0.67826998	0.420836208	0.834597199	3.81E-05
EMP3	0.645933639	0.372303066	0.81625269	0.000115576
SLC27A2	0.478028409	0.142258853	0.715137433	0.007545097
GAREM1	0.459968692	0.119502543	0.703636506	0.010544317
