	MLS16-13969-A2	MLS16-14353-A2	MS13-12480-B1	MS13-13904-A4	MS13-22090-A7	MS13-3651-B1	MS14-15702-A2	MS15-18215-A2	MS16-1383-A7	MS16-4507-A2	MS16-8096-A1	MLS16-24883-D1	MLS16-23390-C5	MS13-18727-C13	MS14-3317-I15	MLS16-16541-I8	MLS16-16928-H2	MLS16-21013-B4	MS16-4698-H30	MLS16-23752-C7	MLS16-24950-K3	MLS17-8288-I16	MLS17-10990-N9	MS14-10799-C14	MS15-19663-H15	MLS16-23764-D6	MS14-18376-B4	MS13-6884-K7	MS13-23696-G11	MS14-18625-N20	MLS17-12838-G5	MS13-17959-C23	MS16-460-G11	MLS16-18386-I8	MS13-14140-A16	MS14-4637-C7	MLS17-04999-F7	MS13-13729-A16	MS15-16859-A8	MLS17-06946-B5	SRH14-3861-E3-1909-113	NS-15-04293-A3-1909-114	SRH16-8466-B1-1909-117	RS16-4672-A1-1909-119	S16-11828-1909-121	13-304-V81-0016-0-1909-122	CHY-12-002872-1909-124	C516-5623A3-1909-125	D513-009920-1909-126	S12-25296-2-1909-127	S14-7061-2A-1909-129	S16-10584-A1-1909-130	S16-6579-A1-1909-131	SG12-8188-2C-1909-133	SRH16-2144-3-1909-135	SU13-00927-A1-1909-136	SU13-05653-A6-1909-137	SU-16-04064-A4-1909-138	SZB15-119-1A-1909-139
VGLL1	5.285739207	8.104331539	7.85503912	0	6.535110599	0.998050686	3.174237226	5.712468933	5.649814065	4.85138116	4.121376945	6.780256569	2.903137451	0	5.278694965	0	4.36119744	4.287093817	2.221704067	0	4.835904089	5.380909176	6.058288278	4.244006514	3.938528045	4.78612048	7.291481628	4.656201165	6.83667152	3.538987203	4.76133763	0	4.91504815	4.531993474	7.345813757	7.177212037	3.963002332	4.500648339	1.704019706	7.476202252	5.393766661	4.678848577	6.231197094	6.924695208	7.057936342	4.293152359	5.48951784	6.076185473	7.455156	5.566188226	3.791397417	5.752704207	6.480938469	6.427342892	5.773344208	7.372523296	7.505652211	6.853579302	2.44839506
SLC27A2	7.095363518	3.472845278	5.277073408	2.891907791	5.001959944	2.368821989	3.866319954	3.702527026	4.66136379	4.665857933	3.535366607	3.514693493	2.133412784	5.494556806	2.678687025	4.912635546	2.999550839	3.974833332	2.527013458	4.329050845	3.707428323	5.804864317	6.381458664	3.287695831	4.436377496	3.646107618	5.824804935	3.380851637	4.858004411	3.01478581	4.06847956	3.478737398	2.978148652	3.390440428	6.527190749	3.234387282	3.982162879	2.875914715	3.595156819	7.167220519	5.532565005	3.24740708	4.282225387	5.845102135	5.431548156	3.851696097	3.981995341	4.015527037	5.871044064	4.301276561	0.76198733	4.954954534	4.714721505	5.366920877	5.235887628	6.419221846	3.931872073	4.279620613	5.058365061
GATA3	8.187343183	10.67991561	11.56778104	7.452053295	10.83144185	7.419917141	7.313508876	9.379188288	9.668281538	7.589389066	10.14057395	8.77429903	5.464483132	8.078976637	9.84580478	8.360173904	6.500275642	8.628189526	6.578071736	6.047286247	7.592377035	9.614492543	9.589924294	7.551363781	9.069626148	10.52923802	9.431746213	8.002801554	8.910889725	8.638081007	8.752237962	6.227602506	7.490837473	10.30144426	10.45778355	7.550925992	7.095213058	7.358555598	7.070729459	10.54258506	10.5881293	7.389657246	9.369530069	9.137202715	9.255303631	7.555233081	9.934017297	10.21890875	9.930452838	8.302455066	7.737691736	9.891816722	8.517660958	10.35222524	10.0987248	10.92073361	8.453899393	9.624452622	5.627572296
PDGFC	9.958069445	5.344610841	7.805928129	7.117109719	4.450650757	5.72088707	7.389854119	5.841628653	6.763660641	8.653771036	6.610543257	4.719605418	6.320925908	9.801683756	6.098750445	9.19431527	5.752024414	6.450223077	5.646839593	8.203742264	5.749517554	9.777125525	9.329189988	7.694868063	5.211892441	6.548993852	5.094217241	5.135417212	5.481441353	7.271017075	5.962503137	9.392811511	6.239864249	5.891845086	7.792161738	6.416294108	7.253407442	5.797250392	6.77330524	7.766896799	8.26065479	6.038515809	4.823572061	3.888904346	5.552187933	8.654906257	6.682307265	5.162248153	5.471412654	3.218196429	4.096854349	5.137785622	5.208061475	7.009527546	3.509498777	5.474727118	6.664177091	5.127019307	5.599786703
MSN	9.231223492	7.51451301	8.093693832	9.453381681	6.307328019	8.537091922	9.888075949	7.528590331	7.864297852	10.12374057	8.777391391	7.678338142	8.875469868	10.74019863	8.037748968	10.36220667	9.442126034	8.858204664	8.746088015	8.838909302	7.517637922	10.10473189	9.332073781	10.62536835	7.768132003	8.404741324	7.964752772	8.506625698	8.365282589	8.871717877	8.639432085	10.80922944	8.968723669	8.247136746	9.123411484	9.46697999	9.695862981	8.229404401	9.76920453	8.810779734	9.307465319	8.798834789	7.185431193	6.502052259	7.594719971	10.82738891	8.638700747	7.136053594	7.69761715	6.309630058	8.307660946	8.028507008	8.299868094	8.01238002	5.969965221	7.246332951	8.909887421	8.15196594	9.534246255
UPK2	0	9.593029106	10.97150361	1.256196409	8.479088355	1.232223316	0	8.306476469	8.021580637	3.190308443	7.960673647	7.111658085	4.079524617	6.015191659	8.224640507	0	0	6.802998633	6.779179406	3.221134546	1.770882017	4.666842608	6.915211269	0	6.39875247	7.7233352	9.757626035	8.335554158	8.707290042	3.538987203	6.231807661	0	5.457121422	6.064321491	7.686171821	7.612053255	3.46047142	8.056791665	2.028283713	9.036027156	8.971537898	5.843236215	7.045697369	11.66476381	8.862860014	0	5.269068875	8.640843182	10.01802663	9.386305895	5.394160048	5.399980422	5.005099867	8.64438929	7.146680599	8.572506377	7.546821171	8.9670866	1.65228477
GPD1L	6.585304753	6.856567602	7.372102625	6.254260431	5.414805115	4.574135377	5.295808799	6.30011013	5.943438752	5.0666164	5.744986058	6.909454233	7.137225917	7.301446595	6.710902305	5.315648393	4.773129497	5.949372316	6.43875709	6.462211585	4.585727744	6.173349015	7.142481099	4.655896289	6.836347978	7.580146293	6.537854478	7.424998896	6.702337125	4.525703658	7.536052712	6.360812119	5.877495061	7.432351671	6.742590631	6.746783161	6.644387245	6.884404474	5.222436562	7.575197665	6.771707658	5.812085682	7.146868933	7.91783005	6.674240885	3.851696097	6.084186907	7.727060221	7.070261189	7.746765008	4.318161425	6.714039784	5.842274426	7.575605851	6.236630993	7.208518949	6.944415829	6.195452905	3.738278018
SCNN1G	6.161652894	6.322084862	5.931998693	0	6.55434443	0.864972914	0	3.019329288	3.12991211	0	5.369026264	2.148121208	1.808934859	0	3.882877965	0	0	2.399037138	0	0	0	0	0	1.971529819	5.019666133	4.8451312	7.055894855	4.125458795	5.299355433	0	5.605374154	0	2.278774685	5.508202463	2.502755316	4.281382006	2.728891613	5.892720368	3.20338613	0	4.329543937	1.959987804	2.230025156	4.8080939	3.935792233	0	4.184987311	5.959057286	6.457139254	5.414070697	2.294936879	3.900735231	4.252915014	5.218796999	5.380064054	6.088236713	3.875533492	3.863873795	3.406268737
TUBB6	8.061040491	6.652526115	8.329156938	9.725392178	7.100710882	7.264012338	8.210157273	7.78424504	7.93104665	11.41452997	8.958766361	8.608043691	8.77233581	10.75663022	8.758950533	10.22998962	10.3375024	8.742986488	8.327651922	9.311031428	7.519827942	10.24912389	9.374652921	10.22705757	7.908924449	7.744155389	6.322548791	8.044111709	7.238945185	7.975209858	8.414786821	10.38393284	8.206784926	7.177465968	8.486686711	7.637936208	8.619067387	7.815207004	9.035825518	7.881864405	8.519014161	8.359033824	6.614865289	4.441033974	6.974032649	10.87342423	7.330490025	6.075180662	6.584242048	5.906013153	7.43085088	6.933509527	6.7511695	7.075620084	4.904859221	5.996540265	6.830484498	6.402592423	8.630805556
CYP2J2	6.944532184	4.267735426	6.294403891	4.579708175	2.150931014	2.996586971	4.537821159	6.036004842	5.65835817	4.730386431	5.472591916	2.013084831	0	0	2.227642232	3.959756297	4.717787197	3.455998804	4.034801204	3.221134546	1.809586725	0	3.921947156	4.504943201	7.047722412	6.782034717	1.366826535	5.217958774	6.316580689	5.626336297	5.331602422	0	3.333604246	5.387647509	4.297974415	5.491039729	2.978278478	4.088330734	2.839634278	10.18552346	5.883259017	5.157328453	4.42789469	9.464742374	4.971020472	5.000378329	5.361328339	7.189960793	3.036810731	6.659166308	4.732537919	6.377731	5.610018164	7.895258222	7.111889411	5.954514511	7.218011652	7.093744758	2.254662488
