	WYK_GC1	WYK_GC10	WYK_GC11	WYK_GC12	WYK_GC2	WYK_GC3	WYK_GC4	WYK_GC5	WYK_GC53	WYK_GC54	WYK_GC55	WYK_GC56	WYK_GC57	WYK_GC58	WYK_GC59	WYK_GC6	WYK_GC60	WYK_GC61	WYK_GC62	WYK_GC63	WYK_GC63_re	WYK_GC64	WYK_GC65	WYK_GC66	WYK_GC67	WYK_GC68	WYK_GC69	WYK_GC7	WYK_GC70	WYK_GC71	WYK_GC72	WYK_GC73	WYK_GC74	WYK_GC75	WYK_GC76	WYK_GC77	WYK_GC8	WYK_GC9
ALOX5AP	-0.120428	-0.443005	1.473543	0.146895	-0.410034	0.217222	-1.334441	0.955786	-0.597388	1.20954	1.153765	-6.757218	-6.757218	-0.047769	-0.787838	-0.945759	0.183106	0.543392	0.04095	-1.098646	-6.757218	0.826304	-0.614018	0.912006	-0.753105	1.770236	1.474914	0.598715	2.755487	-0.783453	-3.768678	-0.790761	-0.998996	1.462137	1.827936	-0.04095	0.277609	0.551129
BHMT	-3.202384	-6.083523	-2.47108	3.678214	0.020525	6.157398	3.921327	-3.365665	1.128632	1.314561	-2.018121	-6.083523	-6.083523	-3.268433	2.732113	3.675187	-3.660069	0.070776	-6.083523	-1.739601	1.74839	-0.020525	5.76014	3.325701	0.415782	-1.980018	0.535489	-3.637942	-1.950772	4.931221	-6.083523	2.553118	4.430309	-0.584852	0.487938	-1.737447	-1.958079	0.819842
CAPN5	-0.794457	-1.281478	-0.582472	0.425193	-0.867058	2.426328	1.662675	-1.991072	-0.391092	0.495445	-0.054746	-3.007033	-6.036497	-0.11046	0.966258	2.513004	0.31423	0.22777	-0.810951	-1.274503	-0.593082	-0.047737	0.047737	1.189171	1.919654	-1.123821	1.192415	-0.944486	0.740827	2.246515	-1.174924	0.223172	1.379078	0.271827	0.273514	-1.463607	-0.115494	0.871826
CD14	-0.347059	0.273764	1.70756	0.016719	0.719821	-0.218803	0.868193	-0.093775	1.010703	1.433553	0.792609	1.95498	-4.582006	-0.206918	-1.586941	-1.576194	0.753634	0.009671	1.582086	-0.547776	-7.687469	0.461748	-1.28028	-0.327345	-2.179534	0.446451	-1.196327	0.476881	1.611051	-0.087197	-0.47487	-2.404572	-2.260571	0.390516	-0.430659	-0.009671	1.0111	0.091954
CDK6	1.07425	0.855424	0.420755	-0.354203	2.170426	-2.026682	-0.630609	1.293653	1.42745	-0.185387	0.935885	-7.987498	1.729514	-1.327444	-1.145079	-2.78883	0.014232	-0.488305	1.690175	1.024103	1.1481	0.113652	-1.200285	-1.220254	-0.331234	0.432548	-0.014232	0.397441	-0.402923	-0.835634	2.450275	-1.531191	-2.003409	-0.830957	-0.546094	0.639528	1.327007	0.223207
CYP2J2	-7.021214	0.265087	0.077472	0.217578	0.0194	-2.487141	-0.52331	-2.249771	1.0094	0.243786	-0.500801	-2.360012	2.739677	-1.24641	4.168139	-4.497531	-0.087088	-1.260889	0.683486	3.375258	0.739339	-1.322947	1.284454	-1.57653	1.17452	-0.513704	0.261705	-3.559451	-0.0194	3.491379	-0.364911	1.913329	-0.25602	0.967942	1.418281	-3.553898	-1.781244	0.16914
CYP4B1	-0.036849	-0.805788	-0.090272	0.636386	-0.201303	1.467165	2.218099	-3.730679	-1.649791	0.668515	-1.058251	-0.769242	-1.057822	0.603065	2.266585	-5.478157	0.388942	0.036849	-3.548363	-0.685475	-0.246549	0.192481	0.697036	2.141726	1.440234	0.509298	-0.237288	-0.960698	0.937781	1.802492	-1.829123	0.69827	1.786374	1.509753	2.608816	-4.272187	-0.499404	-0.894256
EMP3	0.620339	0.413611	1.349132	1.039128	-1.163018	-0.47709	-0.007216	0.684168	-0.859403	1.131333	0.782381	2.871585	-3.007481	-0.182315	-1.45005	0.05187	-1.319057	0.825255	0.523355	-0.538147	-1.261229	0.007216	-0.44014	1.29196	-0.451443	1.333596	-0.026878	-0.176947	1.086265	-1.35823	-1.959058	-1.788776	-1.704245	0.811874	0.152733	-0.431108	0.036375	0.848484
FAP	-7.815884	-0.035414	1.04989	2.370319	-1.945173	0.009576	-3.048602	1.578779	0.043468	-0.377692	2.461845	4.652509	-7.815884	1.053709	-0.783442	-0.923817	-0.759586	1.795999	-0.340135	0.26245	-0.68052	1.188105	1.377899	0.816046	-0.954961	0.40907	0.500885	-1.365525	1.254338	-1.395532	-5.628209	-1.5409	-2.890751	1.155186	-0.009576	0.458385	-1.705242	0.511592
FBP1	-1.199993	-0.525846	-0.103108	-0.327769	-1.800486	0.780137	-0.338283	-1.128868	0.079748	0.280989	-0.97947	3.202325	-1.718669	-0.537993	1.970066	-0.044472	-0.99141	0.155427	-1.746285	-0.647526	-0.690939	0.757975	0.96739	0.999166	0.045716	-1.839699	1.766099	-1.85779	1.571028	1.348239	-2.193198	2.365583	0.830718	0.660622	1.012125	-2.530976	0.044472	0.554095
