	WYK3299	WYK3300	WYK3301	WYK3302	WYK3305	WYK3307	WYK3308	WYK3311	WYK3313	WYK3314	WYK3320	WYK3325	WYK3329	WYK3331	WYK3333	WYK3336	WYK3338	WYK3339	WYK3340	WYK3341	WYK3343	WYK3346	WYK3347	WYK3349	WYK3350	WYK3352	WYK3354	WYK3355	WYK3356	WYK3357	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385
VGLL1	0	6.217269863	3.839265116	4.295927796	0	5.008163057	0	6.62875797	0	2.605571844	0	4.61493324	6.15948819	6.76567123	6.050718203	0	4.550306574	3.336060023	4.840294335	0	0	4.779803415	2.474789834	4.450056243	5.820277136	0	0	6.364840929	5.326606319	6.146261972	1.648942226	3.313088672	5.934541866	4.02441302	4.666786202	6.734087893	5.05946088	0	4.525470111	0	3.812347022	3.261166311	0	2.545386077	3.513074807	6.378723254	1.823358096	3.433799013	2.618367759	0	0	4.70817077
SLC27A2	3.873572014	2.695495596	0	0	2.85836219	4.247120179	6.9915378	6.88936054	2.060297242	5.974612939	5.338259669	3.631777025	5.817058843	5.909815667	4.802290245	4.157843885	4.912936091	4.336841086	4.13651852	0	0	4.9265451	3.409291321	4.692514461	2.691398951	4.389016608	5.864550318	4.546391403	4.303762675	3.807357214	0.918397757	3.977207854	7.476875333	4.793263456	4.010220887	4.991880068	4.591236618	0	4.525470111	1.964960519	2.157643387	1.90613048	2.258953584	3.045524235	4.225614555	4.368308993	3.543986798	3.521375278	3.060677277	1.531479842	5.140277734	4.515481632
GATA3	10.14863279	8.574240518	7.041226761	7.719261237	5.965257266	9.905738692	9.215245679	10.62102019	3.932462825	6.558410427	4.306574036	8.799072336	9.331792464	8.845688202	9.001233431	6.252617893	7.981599048	8.741874934	8.670322346	6.137691002	8.137976366	8.100804003	6.178359847	7.69351128	7.384193042	7.447764887	6.759839235	10.33740333	7.783264025	8.196305988	6.511713612	7.401320216	10.17253661	9.786300344	8.2173772	7.891424133	9.785355214	6.478787343	8.737828201	5.140264887	6.979103274	4.932687964	6.733867362	7.627394025	8.853185291	7.974483077	7.565267941	7.630377699	5.751523257	5.404689741	6.935527539	8.472562489
PDGFC	3.97729397	6.060331725	6.128996662	6.367409453	7.047562746	6.767339946	8.568922193	7.691490541	5.45301543	5.381650779	4.703268782	6.897618071	7.564416232	8.834741021	6.34164945	5.280012177	5.787499764	5.729641812	7.394567378	6.071035478	10.18936427	7.713019766	7.294753283	6.686524731	7.204510056	6.58653315	8.99215735	6.395828595	6.87242181	6.464110546	4.447999198	8.103171388	8.627129914	8.01531896	6.052492973	4.163579556	5.450997117	6.861999371	6.689911896	6.631626465	5.437665209	6.388607087	6.024103481	6.354539575	5.988690323	5.667482844	7.231658542	6.801861473	8.18524149	6.228403437	7.336005689	6.615287519
MSN	6.364554826	9.444343743	9.650005814	9.011246866	9.742259728	9.144317246	9.215245679	9.923020474	10.34821106	9.028868897	8.817918522	9.618173071	10.06379637	9.838650256	8.764058725	9.446767227	8.446412605	8.51350229	9.878029398	9.343241644	10.42851369	9.861712588	9.248738477	8.748696454	9.116678081	9.95702211	10.33254669	8.327747098	9.009535812	7.921418385	8.441167549	9.247814732	8.417484454	9.261698271	8.534621085	7.225574812	8.769909632	9.697509714	9.336866633	9.519015598	8.515014507	9.233932181	10.16197646	8.819887444	8.355632103	8.46053917	9.385361011	8.796526228	9.681738829	9.910263006	9.485238602	8.577873944
UPK2	8.124471373	2.695495596	0	5.071457159	3.513473034	7.573556583	6.262110717	6.051066479	0	3.685726733	0	0	4.096763301	8.801392075	3.807100967	2.299815741	8.19275906	6.750256684	5.260137552	1.867581868	0	3.97322096	0	7.581762913	2.881526348	3.966381783	0	9.282621545	9.035542158	6.50598408	1.475100551	3.657707707	6.011302346	5.144224608	8.204076222	9.478148671	6.885767718	0	7.558735907	2.421164124	7.23513943	5.637420111	0	4.571509206	6.723666616	8.208484793	2.016798692	6.311980705	3.586820357	0	2.973345026	5.666092154
GPD1L	9.215008598	5.376271044	5.914178126	6.407565966	7.643995563	7.618271648	7.128010286	7.143717861	6.138298785	5.831613723	5.977309955	5.276069216	5.76458491	6.33964128	4.705329196	5.744889719	6.925065175	7.746939208	5.454580655	5.103496484	0	6.219725187	5.322058144	7.042856171	5.207151575	5.400338103	5.45774298	6.356988886	6.784473739	6.337305758	4.338019723	5.990329098	4.608571162	5.71552423	6.840794389	8.394027338	7.320521944	4.814291623	7.334736291	5.81933061	7.222332584	7.179190512	4.898944078	7.107112368	5.772045214	6.596574952	5.464788525	6.779832294	6.535983351	3.480674723	5.969978259	6.58160245
SCNN1G	2.564797083	4.985294146	0	3.905167073	0	7.315660968	0	5.734567693	1.181604403	0	3.462106513	0	0	5.160981238	0	0	3.630238341	3.921543279	0	0	0	0	2.336946787	3.762523327	0	2.319155918	0	5.700340382	2.343701497	4.992252891	3.567811202	3.313088672	0	0	4.356425444	4.257738354	6.238640459	0	4.336713646	2.068472095	4.829267976	2.976374979	1.96814517	2.687586771	2.805211363	5.465392327	0	3.603938251	0	4.507442926	3.294504266	3.007036951
TUBB6	5.253555726	7.730922737	8.216839125	8.867494034	9.418996943	7.954510541	6.9915378	9.309402991	6.976437613	6.706281637	6.308966655	7.847621474	8.613480787	8.647247621	6.922468726	7.428517803	7.547961993	8.097785075	9.673443461	9.764770376	9.834866047	8.455314302	8.750024263	7.564446034	8.632290419	8.349691383	9.27930331	7.410183281	8.287291902	6.817625704	6.740277234	8.142494562	8.121064126	8.46057964	7.756452574	5.664068891	7.245624185	8.363898146	8.181003849	8.415112878	7.443712001	8.421162603	8.4664706	8.561986861	8.439187287	7.214698699	8.855196435	8.009292322	9.107931466	9.1231146	7.670084572	7.735922072
CYP2J2	3.284044947	0	4.165426098	4.113737113	2.85836219	5.254670849	0	5.545788222	1.370365814	3.945912894	2.428659951	3.358828102	6.097197793	5.294814272	3.242375635	2.986340922	5.228478779	5.059614685	4.530902055	4.249034799	0	4.779803415	0	5.164212391	3.460597116	3.69724058	0	7.06938457	7.441481874	7.707361588	3.692226568	2.193950483	0	4.459460972	3.960463096	5.795455834	4.326342867	0	4.560429062	0	4.657238677	1.90613048	4.884790641	3.388701798	4.838158936	5.29276742	3.019579555	3.719547292	3.398724506	3.385998427	3.557025875	4.197424634
ALOX5AP	3.437418927	7.185994684	6.441783294	6.876730867	5.517445693	5.748697913	0	6.186590631	4.771726871	4.72419376	4.835728995	7.029309152	6.179667998	6.067752208	6.933213551	6.115259522	6.654848492	5.898072104	5.454580655	7.048765049	6.731449594	6.037937872	6.712056031	6.621029443	6.324832586	7.037306644	6.759839235	5.772952994	5.849420392	5.556344238	4.45971726	6.483739681	5.474100657	6.56296662	5.911221045	4.600887027	5.90488702	6.196919243	6.74413447	6.083053018	5.922445532	6.094375568	7.104369913	5.689122641	5.314777625	6.045488003	6.910911109	5.664133821	6.558638897	6.911189988	7.003154961	6.192804572
PALLD	7.187550263	9.655049629	9.452330485	9.894487633	11.32199435	10.46655017	6.481815332	10.05286922	9.493997561	7.340446738	8.571840526	9.720373221	9.52359388	10.00900896	8.621864174	8.906054027	10.03230982	10.35775627	9.854526071	9.508728648	9.354220247	10.42161877	9.536393037	9.791419901	9.726569269	8.644001026	8.937038386	10.07499086	10.0006929	9.010670426	7.707949407	10.3691817	7.654900326	8.697945994	10.08105906	7.974364629	9.138520183	9.23344265	10.37678204	10.20247869	9.928242447	11.11591693	9.174914416	11.07304096	9.204729681	9.784316691	9.313490359	9.618714503	10.11906179	9.453915165	8.318319366	9.503883357
EMP3	4.074056435	5.801614626	6.359115833	6.726091178	6.826986769	6.487800834	0	5.734567693	6.790602509	5.831613723	4.703268782	6.526166356	5.501514033	6.33964128	6.601715997	6.777636196	6.182755972	6.18540183	5.88405954	5.810017498	6.320930704	5.829896511	6.313132495	5.712305305	6.332997355	6.417236502	6.993895756	5.21856026	5.879697706	5.166488317	3.895713216	6.215273224	0	5.662132043	5.314185449	4.23476849	5.663199182	5.322162306	6.018629492	5.758718104	5.782885161	6.079796227	4.735050881	6.540969459	5.196812582	5.851644076	6.231508635	6.559626432	6.535983351	5.111118671	6.099220001	6.100679104
MT1X	7.549122157	8.306148867	8.870885838	8.747468369	9.574956287	8.636499353	11.87777949	9.633844064	6.976437613	9.221461401	8.465947196	8.577603896	10.57782934	9.782787116	7.813658023	8.04134662	8.36378649	7.364326024	11.7190149	10.12863108	11.64899487	10.37445124	8.798426033	7.750133107	8.627319592	9.216514936	11.64415616	7.779704913	8.31894129	7.792002527	7.625820844	9.807009669	11.73561001	11.45306749	7.769755061	4.175691004	7.551282596	9.867787307	10.03227099	9.491342052	6.198349616	8.162144921	10.4899486	6.417129983	7.778014363	7.088339661	8.929199449	7.488178002	9.283103375	10.56337266	10.94033691	7.911887805
GDPD3	2.27026395	3.115843555	4.431275544	3.661264182	3.513473034	5.811661194	0	5.206263188	2.264496411	5.193940793	2.250250731	3.788711943	4.179257651	7.687811889	4.429899969	2.489648327	3.420705892	5.458278264	3.591997506	3.322980036	4.986443763	5.829896511	2.336946787	4.352539659	3.336139249	3.166844476	4.767989663	6.051180748	6.345145356	5.374545129	2.704450067	3.313088672	7.037261367	4.02441302	5.197327377	5.480983492	5.008594935	0	5.258605009	2.7672396	4.479212349	4.128305652	2.889049955	3.49569416	3.051667156	5.474402859	3.828124636	4.189471897	3.672405809	2.576137065	3.971422121	2.176181762
CD14	5.211632544	8.330902936	8.169108108	8.78606003	7.636460305	8.168073545	9.660011953	9.177314077	8.477507201	6.670710324	5.903759728	8.756940301	8.797760036	9.782787116	8.5468908	8.106832016	6.888843676	7.702118386	9.260621348	9.121023261	11.70313409	8.798029963	8.657138231	7.960026275	7.809801745	9.561957994	10.31373751	6.846379716	8.505253216	7.452861419	6.835544156	9.06607355	9.010420188	8.866747628	6.675871726	7.076904379	6.545634866	8.553827136	7.985857547	7.706860982	6.328340151	7.488817109	8.356667901	7.528484426	7.524139259	7.523331411	9.037727255	7.874429062	9.539501181	8.081695712	9.219845688	7.777840544
